HFB	PA  	ARTNO   	ARTNAME_UNICODE                                   	UNIT 	AVGSALES	SALESMETHOD	RANGECODE1	SRP	BASEONHAND	AVAILABLESTOCK	PRICE1	LENGTH_M	WIDTH_M	HEIGHT_M	VOLUME_M3	WEIGHT_G	LOCPRICE	SLID_H	EXPSALE	DELTYPE	WISHEDDELIVERYMARK	HOMEDELIVERYCODE	AVAILABLEINSTORE	MPQ 	PALQ	ASSQ	FLEX%	MSL	SL	APPLIED_SAFETYSTOCK	QTYGOODSDOM	FAMILYPRICE1	WORKAREA	LEADTIME	CCL         	SSD     	EDS     	AVERAGE_SALES_RECEIPT	FIRECLASS
01 	0111	00180119	KIVIK str so 3                                    	piece	-0,10   	2          	A         	7  	0,00      	0,00          	430   	1,81    	0,92   	0,48    	1.128500 	74400   	0       	      	0,0    	0      	                  	0               	No              	2   	2   	    	0    	   	5 	0,0                	0          	0           	        	2,60    	DISCONTINUED	20100401	20220401	1,5                  	HFR      
01 	0111	00180124	KIVIK str chaise                                  	piece	-0,10   	2          	A         	7  	0,00      	0,00          	250   	2,07    	0,91   	0,29    	0.542568 	45400   	0       	      	0,0    	0      	                  	0               	Yes             	1   	4   	    	0    	   	5 	0,0                	0          	0           	        	2,60    	DISCONTINUED	20100401	20220401	1,5                  	HFR      
01 	0111	00185032	EKTORP NNN str so 2                               	piece	11,10   	2          	O         	1  	0,00      	6,00          	240   	2,03    	0,88   	0,38    	0.769559 	55650   	0       	782700	9,7    	1      	                  	1               	Yes             	2   	2   	6   	0    	2  	1 	13,9               	0          	0           	066     	1,90    	MAN         	20110401	        	1,5                  	NFR      
01 	0111	00223864	S�DERHAMN str chaise                              	piece	3,10    	2          	O         	1  	35,00     	35,00         	360   	1,47    	0,95   	0,24    	0.339982 	31160   	0       	951800	2,4    	1      	                  	1               	Yes             	5   	5   	9   	0    	1  	1 	4,8                	0          	0           	076     	0,70    	MAN         	20120401	        	1,5                  	NFR      
01 	0111	00223878	S�DERHAMN struc 1 asto                            	piece	8,30    	2          	O         	1  	16,00     	15,00         	220   	0,97    	0,97   	0,24    	0.226195 	23220   	0       	841300	8,7    	1      	                  	1               	Yes             	1   	5   	10  	0    	2  	1 	11,4               	0          	0           	054     	0,70    	MAN         	20120401	        	1,5                  	HFR      
01 	0111	00271280	LANDSKRONA str so 3 Grann/Bomstad negro           	piece	0,30    	2          	O         	1  	5,00      	4,00          	1079  	2,09    	0,92   	0,52    	1.005679 	58000   	0       	950250	1,1    	1      	                  	1               	Yes             	2   	2   	4   	0    	1  	2 	2,4                	0          	0           	076     	0,70    	MAN         	20150201	        	1,2                  	NFR      
01 	0111	00289317	STOCKSUND patas silln/sof� negro                  	piece	0,10    	2          	A         	7  	0,00      	0,00          	20    	0,31    	0,23   	0,08    	0.007219 	1425    	0       	      	0,0    	0      	                  	0               	No              	6   	90  	    	0    	   	5 	0,0                	0          	0           	        	1,60    	DISCONTINUED	20141001	20230101	1,5                  	NFR      
01 	0111	00289322	STOCKSUND patas silln/sof� marr�n claro           	piece	0,50    	2          	A         	7  	0,00      	0,00          	9,99  	0,31    	0,23   	0,08    	0.007219 	1425    	9       	      	0,0    	0      	                  	0               	No              	6   	90  	    	0    	   	5 	0,0                	0          	0           	        	1,60    	DISCONTINUED	20141001	20230101	1,5                  	NFR      
01 	0111	00292819	KIVIK fn m�d esq Orrsta gris claro                	piece	-0,10   	2          	A         	7  	0,00      	0,00          	100   	0,74    	0,38   	0,08    	0.023263 	6500    	0       	      	0,0    	0      	                  	0               	Yes             	1   	33  	    	0    	   	5 	0,0                	0          	0           	        	1,60    	DISCONTINUED	20150201	20220401	1,3                  	NFR      
01 	0111	00319847	NOCKEBY fn so 2 TALLMYRA marr�n anaranjado        	piece	0,10    	2          	A         	7  	0,00      	0,00          	139   	0,56    	0,37   	0,13    	0.029465 	5653    	0       	      	0,0    	0      	                  	0               	No              	1   	24  	    	0    	   	5 	0,0                	0          	0           	        	1,40    	DISCONTINUED	20160401	20210701	1,1                  	NFR      
